text_id,en,da,nl,sv,no,el,it,de,es,fr,et,ja,
str_utci,Universal Thermal Climate Index,Universal Thermal Climate Index,Universal Thermal Climate Index,Universal Thermal Climate Index,Universal Thermal Climate Index,Universal Thermal Climate Index,Indice Universale del Clima Termico (UTCI),Universeller Thermischer Klimaindex,Índice Universal del Clima Térmico,Universal Thermal Climate Index,Universal Thermal Climate Index,Universal Thermal Climate Index,
str_research_label,Research,Research,Onderzoek,Forskning,Forskning,Research,Ricerca,Erforschung,Investigación,Research,Research,Research,
str_climapp_id,ClimApp ID,ClimApp ID,ClimApp ID,ClimApp ID,ClimApp ID,ClimApp ID,ClimApp ID,ClimApp ID,ClimApp ID,ClimApp ID,ClimApp ID,ClimApp ID,
str_research,Research,Research,Onderzoek,Forskning,Research,Research,Ricerca,Forschung,Investigación,Research,Research,Research,
str_submit_research_data_point,Submit current values,indsend dine nuværende værdier,Datapunt uploaden,Skicka nuvarande värden,Send disse værdiene,Submit current values,Inviare i valori attuali,Aktuelle Werte einreichen,Enviar valores actuales,Submit current values,Submit current values,indsend dine nuværende værdier,
str_work,Work,arbejde,Werk,Arbete,Jobb,Work,Lavoro,Arbeit,Trabajo,Work,Work,arbejde,
str_elderly,Seniors,Ældre,Senioren,Seniorer,Seniorer,Elderly,Anziani,Senioren und Seniorinnen,Ancianos,Elderly,Seniors,Ældre,
str_children,Children,Børn,Kinderen,Barn,Barn,Children,Bambini,Kinder,Niños,Children,Children,Børn,
str_menu_hydration,Hydration,Hydrering/væskebalance,Drinken,Hydrering/vätskebalans,Hydrering/veskebalanse,Hydration,Idratazione,Hydration,Hidratación,Hydration,Hydration,Hydrering/væskebalance,
str_menu_measures,Measures,Målinger,Maatregelen,Åtgärder,Målinger,Measures,Misure,Messungen,Medidas,Measures,Measures,Målinger,
str_indoor_environment,Indoor environment,Indeklima,Binnenklimaat,Inomhusklimat,Innemiljø,Indoor environment,Ambiente interno,Raumklima,Ambiente interior,Indoor environment,Indoor environment,Indeklima,
str_current,Current estimate,Current estimate,Huidige voorspelling,Nuvarande uppskattning,Current estimate,Current estimate,Current estimate,Current estimate,Current estimate,Current estimate,Current estimate,Current estimate,
str_current_advanced,Advanced,Advanced,Gevorderd,Avancerad,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,
str_peak,Expected high,Expected high,Verwacht hoog,Förväntad hög,Expected high,Expected high,Expected high,Expected high,Expected high,Expected high,Expected high,Expected high,
str_nadir,Expected low,Expected low,Verwacht laag,Förväntad låg,Expected low,Expected low,Expected low,Expected low,Expected low,Expected low,Expected low,Expected low,
str_profile,Profile,Profile,Profiel,Profil,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,
str_personal,Personal,Personal,Persoonlijk,Personlig,Personal,Personal,Personal,Personal,Personal,Personal,Personal,Personal,
str_group,Group,Group,Groep,Grupp,Group,Group,Group,Group,Group,Group,Group,Group,
str_customisation,Customisation,Customisation,Aanpassing,Anpassning,Customisation,Customisation,Customisation,Customisation,Customisation,Customisation,Customisation,Customisation,
str_info,Body,Body,Lichaam,Kropp,Body,Body,Body,Body,Body,Body,Body,Body,
str_perception,Perception,Perception,Perceptie,Uppfattning,Perception,Perception,Perception,Perception,Perception,Perception,Perception,Perception,
str_just_right,Just right,Just right,Precies goed,Precis rätt,Just right,Just right,Just right,Just right,Just right,Just right,Just right,Just right,
str_questionnaire,Link to questionnaire,Link to questionnaire,Link to questionnaire,Länk till enkät,Link to questionnaire,Link to questionnaire,Link to questionnaire,Link to questionnaire,Link to questionnaire,Link to questionnaire,Link to questionnaire,Link to questionnaire,
str_research_consent,"In order to participate in research, a researcher may need your ClimApp ID. If you give your ClimApp ID to the researcher you consent that your data can be used for research purposes. Please consult your contact person for more details.",for at forbedre (den forskningsmæssige) kvalitet beder vi om lov til at gemme din ClipApp id (bliver anonymiseret og kun brugt til forskningsmæssigt brug),"Om mee te doen met onderzoek kan een onderzoeker je ClimApp ID nodig hebben. Door het ClimApp ID aan de onderzoeker te geven stem je in met het gebruik van je data voor onderzoeksdoeleinden. Individuele data zullen nooit gepubliceerd worden.
 Voor meer vragen kun je bij je contactpersoon terecht.",För att delta i forskning kan en forskare behöva ditt ClimApp ID. Ifall du ger ditt ClimApp ID till forskaren så godkänner du att din data kan användas för forskningsändamål. Vänligen konsultera din kontaktperson för fler detaljer.,"For å delta i forskning, kan en forsker ha bruk for ClimApp-ID'et ditt. Hvis du gjir ClimApp-ID'et ditt til en forsker, godtar du at dataene dine blir brukt til forskningsformål. Vær vennlig å ta kontakt til kontaktpersonen din, for å høre mere.","In order to participate in research, a researcher may need your ClimApp ID. If you give your ClimApp ID to the researcher you consent that your data can be used for research purposes. Please consult your contact person for more details.","Per poter partecipare alla ricerca, un ricercatore potrebbe aver bisogno del tuo ClimApp ID. Se fornisci il tuo ClimApp ID al ricercatore, acconsenti all’utilizzo dei tuoi dati per fini di ricerca. Per favore, consulta il tuo contatto per maggiori dettagli.","Eine Forscherin oder ein Forscher benötigt möglicherweise Ihre ClimApp ID um an der Forschung teilnehmen zu können. Wenn Sie der Forscherin oder dem Forscher Ihre ClimApp ID übergeben, stimmen Sie zu, dass Ihre Daten für Forschungszwecke angewendet werden können. Kontaktieren Sie bitte Ihre Kontaktperson, um weitere Informationen zu erhalten.","Para participar en la investigación, un investigador puede necesitar tu ClimApp ID. Si le das tu ID de ClimApp al investigador, aceptas que tus datos se puedan utilizar para fines de investigación. Por favor, consulta a tu persona de contacto para más detalles.","In order to participate in research, a researcher may need your ClimApp ID. If you give your ClimApp ID to the researcher you consent that your data can be used for research purposes. Please consult your contact person for more details.","In order to participate in research, a researcher may need your ClimApp ID. If you give your ClimApp ID to the researcher you consent that your data can be used for research purposes. Please consult your contact person for more details.",for at forbedre (den forskningsmæssige) kvalitet beder vi om lov til at gemme din ClipApp id (bliver anonymiseret og kun brugt til forskningsmæssigt brug),
