text_id,en,da,nl,sv,no,el,it,de,es,fr,et,ja
details_ireq_desc_list1,"keep your clothes dry, wet clothing cools you down faster,","holde dit tøj tørt, vådt tøj nedkøler dig hurtigere,","Houdt uw kleding droog, natte kleding koelt u sneller af,","håll dina kläder torra, blöta kläder kyler ner dig snabbare,","hold klærne tørre, våte klær kjøler deg raskere ned,","κρατήστε τα ρούχα σας στεγνά, τα βρεγμένα ρούχα σας κρυώνουν γρηγορότερα","mantenere i vestiti asciutti, i vestiti bagnati abbassano più velocemente la tua temperatura,","Kleider trocken halten, nasse Kleider kühlen Sie schneller ab,","manten tu vestimenta seca, la ropa mojada te enfria más rápido","garder vos vêtements secs, des vêtements mouillés vous refroidissent plus rapidement,","keep your clothes dry, wet clothing cools you down faster,","keep your clothes dry, wet clothing cools you down faster,"
details_ireq_desc_list2,"do not underdress,",sørg for ikke at tage for lidt tøj på,"De niet te weinig kleding aan,","klä dig tillräckligt,",huske å ha på nokk klær,μη φοράτε λιγότερα ρούχα,"non vestirsi troppo poco,",tragen Sie genügend Klamotten,no te vistas con poca ropa,"porter suffisamment de vêtements,","do not underdress,","do not underdress,"
details_ireq_desc_list3,"do not overdress, sweating can make your clothes wet.","sørg for ikke at tage for meget tøj på, når du sveder bliver dit tøj vådt.","Doe niet teveel kleding aan, zweten kan uw kleding nat maken.","klä dig inte för varmt, svett fuktar dina kläder inifrån.","ikke ha på for mye klær, svette kan gjøre klærne våte.","μη φοράτε περισσότερα ρούχα, τα ροούχα σας θα βραχούν καθώς ιδρώνετε","non vestirsi troppo, la sudorazione rende i vestiti bagnati.","tragen Sie nicht zu viele Kleider, Schweiß macht die Kleider nass.","no te vistas con demasiada ropa, la sudoración puede mojar la ropa que llevas puesta","ne pas porter trop de vêtements, trasnpirer peut mouiller vos vêtements.","do not overdress, sweating can make your clothes wet.","do not overdress, sweating can make your clothes wet."
details_ireq_clo_1,For your,Med dit,Voor uw,För din,For din,Για σας,Per il tuo,Für Ihre ,Para tu,Pour votre,For your,For your
details_ireq_clo_2,"activity level, you should aim to keep the clothing level between",aktivitetsniveau anbefales det at du har tøj på mellem,"Inspanningsniveau, u zou uw kleding moeten houden tussen",aktivitetsnivå så bör du ha en klädesnivå mellan,"aktivitetsnivå, bør du prøve å holde klesnivået mellom","η ένταση της δραστηριότητας, πρέπει να στοχεύσετε να κρατήσετε το επιπεδο του ρουχισμού μεταξύ","livello di attività, dovresti cercare di mantenere il livello di vestiario tra","Aktivitätsebene sollten Sie versuchen, die Kleidungsebene zwischen","nivel de actividad, deberías mantener tu nivel de vestimenta entre","niveau d'activité, vous devriez garder votre niveau de protection vestimentaire entre","activity level, you should aim to keep the clothing level between","activity level, you should aim to keep the clothing level between"
details_ireq_clo_3,clo and,clo og,clo en,clo och,clo og,και,clo e,clo und,clo y,clo et,clo and,clo and
details_ireq_clo_dle_1,"The heat loss limit is reached in 
",Ved minimal mængde tøj er det forventet at din kernetemperatur,Het limiet in warmteverlies is bereikt in,Värmeförlustgränsen nås om,Med det minimale klesnivået forventes kjernetemperaturen din,Με το ελάχιστο επίπεδο ρουχισμού η θερμοκρασία σας αναμένεται,Il limite di perdita di calore è raggiunto in,Mit der minimalen Kleidungsebene wird dein Körpertemperatur erwartet,El límite de pérdida de calor es alcanzado en,Avec le niveau de protection vestimentaire minimal votre température corporelle attendue est,"The heat loss limit is reached in 
","The heat loss limit is reached in 
"
details_ireq_clo_dle_2,minutes,minutter,minuten,minuter,minutter,λεπτά,minuti,Minuten,minutos,minutes,minutes,minutes
details_neutral,Based on your activity level and clothing there is no indication for heat or cold stress.,"Baseret på dit aktivitetsniveau er der ingen indikation af varme- eller kuldestress, når du har tøj der minder om afslappet kontortøj på.",Er is geen indicatie voor hitte of koude stress gebaseeerd op uw inspanningsniveau en kleding. ,Baserat på din aktivitetsnivå så finns det inga indikationer för värme- eller kylstress när du har vardagliga kontorskläder.,Basert på aktivitetsnivået ditt er det ingen indikasjoner på varme eller kulde stress når du er kledd i casual office-klær.,Με βάση το επίπεδο της δραστηριότητας δεν υπάρχει ένδειξη για θερμική ή ψυχρή καταπόνηση όταν είστε ντυμένος/η με την συνηθισμένη ένδυση για το γραφείο,"Basandosi sul tuo livello di attività e vestiario, non sono presenti indicazioni riguardo agli stress da caldo o da freddo","Basiert auf Ihre Aktivitätsebene gibt es keine Indikationen auf Hitze- oder Kältebelastung, wenn Sie lässige Bürokleidung tragen.","Según tu nivel de actividad, no hay indicios de estrés por calor o frío cuando estás usando ropa casual de oficina.","Etant donné votre niveau d'activité, il n'y a pas d'indication de stress hyper ou hypothermique quand vous portez une tenue de travail décontractée.",Based on your activity level and clothing there is no indication for heat or cold stress.,Based on your activity level and clothing there is no indication for heat or cold stress.
intro_nav_1,Dashboard introduction,Introduktion til dit dashboard,Dashboard introductie,Dashboard introduktion,Dashbord introduktion,Εισαγωγή στον πίνακα,Introduzione alla dashboard,Dashboard Introduktion,Introducción al tablero,Introduction du tableau de bord,Dashboard introduction,Dashboard introduction
intro_nav_2,"To familiarise you with the app, we will introduce the different elements on the dashboard","For at gøre dig bedre kendt med ClimApp, introduceres de forskellige elementer på dit dashboard",Om u bekend te maken met de app zullen we u introduceren met de verschillende elementen van het dashboard,För att göra dig bekant med appen så kommer vi introducera olika funktioner på dashboarden,"For å gjøre deg kjent med appen, presenterer vi de forskjellige elementene på dashbordet","Για να εξοικειωθείτε με την εφαρμογή, θα σας εισάγουμε στα διαφορετικά στοιχεία του πίνακα","Per famigliarizzare con la app, 
ti introdurremo i diversi elementi sulla dashboard","Üm Sie mit der App bekannt zu machen, präsentieren wir die verschiedene Elementen auf dem Dashboard","Para familiarizarte con la aplicación, presentaremos los diferentes elementos en el tablero","Pour vous familiariser avec l'app, nous allons vous présenter les différents éléments sur le tableau de bord","To familiarise you with the app, we will introduce the different elements on the dashboard","To familiarise you with the app, we will introduce the different elements on the dashboard"
intro_nav_3,From the navigation bar below you can switch between the different screens of the app,på navigationspanelet nedenunder kan man skifte mellem de forskellige sider i appen,Met de navigatiebalk onderaan kunt u wisselen tussen de verschillende schermen van de app,Från navigationsfältet under så kan du byta mellan de olika skärmarna i appen,Fra navigasjonsfeltet nedenfor kan du veksle mellom de forskjellige skjermene til appen,Από την μπάρα πλοήγησης παρακάτωμπορείτε να μεταβείτε στις διαφορετικές οθόνες της εφαρμογής,"Dalla barra di navigazione qua sotto, puoi navigare tra le differenti
schermate della app",Vom Navigationsfeld hierunten können Sie zwischen die verschiedenen Schirmen der App wechseln,"Desde la barra de navegación abajo, puedes cambiar entre las diferentes pantallas de la aplicación",A partir de la barre de navigation ci-dessous vous pouvez basculer entre les différents écrans de l'app,From the navigation bar below you can switch between the different screens of the app,From the navigation bar below you can switch between the different screens of the app
intro_gauge,The gauge indicates the expected level of heat or cold stress on a scale from -4 to 4,Hjulet indikerer det forventede varme- eller kuldestress på en skala fra 4 til -4,De meter geeft een indicatie van de verwachte level van hitte of koude stress op een schaal van -4 tot 4,Mätaren indikerar den förväntade nivån av värme- eller kylstress på en skala -4 till 4,Måleren indikerer det forventede nivået på varme eller kulde på en skala fra -4 til 4,Το εύρος δείχνει το αναμενόμενο επίπεδο θερμικής ή ψυχρής καταπόνησης σε μια κλίμακα από -4 έως 4,"Il misuratore indica il livello previsto 
di stress termico da caldo o da freddo su una scala da -4 a 4",Der Messer zeigt die erwartete Ebene der Hitze oder Kälte auf einer Skala von -4 bis 4 an. ,El medidor indica el nivel esperado de estrés por calor o frío en una escala de -4 a 4,La jauge indique le niveau de stress hyper ou hypothermique attendu sur une échelle de -4 à 4,The gauge indicates the expected level of heat or cold stress on a scale from -4 to 4,The gauge indicates the expected level of heat or cold stress on a scale from -4 to 4
intro_range,This area provides basic information about the current weather.,Dette område giver generel information om det aktuelle vejr.,Dit deel geeft basis informatie over het huidige weer.,Detta område ger generell information om det rådande vädret.,Dette området gir grunnleggende informasjon om det nåværende været.,Αυτή η περιοχή παρέχει βασικές πληροφορίες για τον τωρινό καιρό,"Questa area fornisce informazioni di base riguardo al meteo
corrente",Dieser Bereich gibt grundlegende Information über das jetzige Wetter.,Esta área proporciona información básica sobre el clima actual.,Cette zone fournit des informations de base sur la météo actuelle.,This area provides basic information about the current weather.,This area provides basic information about the current weather.
intro_details_1,Press <i>more info</i> to learn how to cope with the conditions and get detailed information,Tryk på <i>mere info</i> for at læse mere.,Klik op <i>more info</i> om te leren hoe om te gaan met de huidige omstandigheden en gedetaileerde informatie te krijgen,Tryck på  <i>mer information</i> för att lära dig mer om hur du kan hantera omgivningen och få mer detaljrik information,Trykk på <i>mer informasjon</i> for å lese mer.,Επιλέξτε <i>περισσότερες πληροφορίες</i> για να διαβάσετε περισσότερα.,Clicca <i>ulteriori informazioni</i> per apprendere come reagire alle condizioni e ricevere informazioni dettagliate,Drücken Sie auf <i>mehrere Information</i> um mehr zu erfahren.,Presiona aquí <i>more info</i> para leer más.,Appuyer sur <i>plus d'infos</i> pour en savoir plus.,Press <i>more info</i> to learn how to cope with the conditions and get detailed information,Press <i>more info</i> to learn how to cope with the conditions and get detailed information
intro_wheels_1,"This bar allows you to set your estimated activity level, clothing level and whether you are wearing any head gear. This allows for the app to better adapt to your situation.","I dette område bedes du angive bedste estimat afdit aktivitetsniveau, det tøj du har på og hvorvidt du har hovedbeklædning på. Dette tilpasser appen bedre til din situation.","Deze balk geeft u de kans uw ingeschatte inspanningsniveau, kleding en hoofddeksel in te stellen. Hierdoor kan de app zich beter aanpassen aan uw situatie.","Denna linje låter dig sätta din förväntade aktivitetsnivå, klädesnivå och ifall du har på dig någon huvudbonad. Detta gör det möjligt för appen att bättre anpassa dig till situationen.","Denne linjen lar deg angi ditt estimerte aktivitetsnivå, klesnivå og om du har på deg hodeplagg. Dette gjør det mulig for appen å tilpasse seg bedre til din situasjon.","Αυτή η μπάρα επιτρέπει να θέσετε το εκτιμώμενο επίπεδο της δραστηριότητάς σας, το επίπεδο ένδυσης και αν φοράτε κάτι στο κεφάλι. Αυτό επιτρέπει στην εφαρμογή να προσαρμοστεί στην κατάστασή σας.","Questa barra permette di selezionare
la stima del tuo livello di attività, di abbigliamento e se indossi un qualche tipo di copricapo. Questo permette alla app di adattarsi meglio alla tua situazione.","Diese Linie lässt Ihnen Ihre geschätzte Aktivitätsebene, Kleidungebene und ob Sie Kopfbedeckung tragen eingeben. Dieses ermöglicht der App sich besser an Ihre Situation anzupassen.","Esta barra te permite poner tu nivel de actividad estimado, el nivel de ropa que tienes y si llevas puesto algún protector de cabeza. Esto permite que la aplicación se adapte mejor a tu situación.","Cette barre vous permet de saisir votre niveau d'activité estimé, niveau de protection vestimentaire et si vous portez un chapeau. Cela permet à l'app de mieux s'adapter à votre situation.","This bar allows you to set your estimated activity level, clothing level and whether you are wearing any head gear. This allows for the app to better adapt to your situation.","This bar allows you to set your estimated activity level, clothing level and whether you are wearing any head gear. This allows for the app to better adapt to your situation."
intro_wheels_2,You switch between the different categories by clicking on the headers.</p><p>You can read more about the different levels in the description at the bottom.,Du kan skifte mellem de forskellige kategorier ved at klikke på fanerne</p><p>Nederst kan læse mere om de forskellige niveauer.,U kunt wisselen tussen de verschillende categoriën door op de koppen te klikken. </p><p>U kunt meer lezen over de verschillende levels in de beschrijving onderaan.,Du kan byta mellan de olika kategorierna genom att klicka på rubrikerna.</p><p>Du kan läsa mer om de olika nivåerna i beskrivningen längst ner.,Du veksler mellom de forskjellige kategoriene ved å klikke på overskriftene. </p> <p> Du kan lese mer om de forskjellige nivåene i beskrivelsen nederst.,Αλλάζετε μεταξύ των διάφορων κατηγοριών κάνοντας κλικ στις κεφαλίδες. </ P> <p> Μπορείτε να διαβάσετε περισσότερα για τα διάφορα επίπεδα στην περιγραφή στο κάτω μέρος.,"Puoi passare da una categoria all'altra cliccando sulle
diverse intestazioni.</p><p>Puoi avere maggiori informazioni riguardo ai diversi livelli nelle descrizioni in basso.",Sie wechseln zwischen die verschiedenen Kategorien beim Klicken der Überschriften. </p> <p> Sie können mehr über die verschiedenen Ebenen in der Beschreibung am unten erfahren.,Puedes cambiar entre las diferentes categorías haciendo clic en los encabezados. </p> <p> Puedes leer más sobre los diferentes niveles en la descripción en la parte inferior.,Vous pouvez passer d'une catégorie à l'autre en cliquant sur les en-têtes.</p><p>Vous pouvez en lire plus sur les différents niveaux dans la description en bas.,You switch between the different categories by clicking on the headers.</p><p>You can read more about the different levels in the description at the bottom.,You switch between the different categories by clicking on the headers.</p><p>You can read more about the different levels in the description at the bottom.
dash_tip_green,The green level means that low thermal stress is forecasted.,"Når din score ligger i det grønne område indikerer det, at det forventede termiske stress er lavt.",Het groene level betekent dat lage thermische stress is voorspelt.,Den gröna nivån innebär att låg termisk stress förväntas.,Det grønne nivået betyr at lav termisk belastning er forventet.,Το μπλε επίπεδο σημαίνει ότι προβλέπεται χαμηλή θερμική καταπόνηση,Il livello verde significa significa che è previsto un basso stress termico.,"Die grüne Ebene bedeutet, dass niedrige thermische Strahlung erwartet wird.",El nivel verde significa que se pronostica un bajo estrés térmico.,Le niveau vert signifie qu'un faible stress thermique est prévu.,The green level means that low thermal stress is forecasted.,The green level means that low thermal stress is forecasted.
dash_tip_cyan,The cyan level means that moderate cold stress is expected.,"Når din score ligger i det cyan-blå område, er moderat kuldestress forventet.",Het cyaan level betekent dat gemiddelde koude stress is voorspeld.,Den ljusblå nivån innebär att måttlig kylstress förväntas.,Cyannivået betyr at det forventes moderat kuldestress.,Το κυανό επίπεδο σημαίνει ότι αναμένεται μέση θερμική καταπόνηση.,"Il livello turchese significa
che ci si aspetta un moderato stress termico da freddo.","Das cyan Niveau bedeutet, dass moderate Kältebelastung erwartet wird.",El nivel de cian significa que se espera un estrés por frío moderado.,Le niveau cyan signifie qu'un stress hypothermique modéré est prévu.,The cyan level means that moderate cold stress is expected.,The cyan level means that moderate cold stress is expected.
dash_tip_blue,The blue level means that high cold stress is expected.,"Når din score ligger i det blå område, betyder det, at der er høj risiko for kuldestress.",Het blauwe level betekent dat hoge koude stress is voorspeld,Den blå nivån innebär att hög kylstress förväntas.,Det blå nivået betyr at det forventes høyt kuldestress.,Το μπλε επίπεδο σημαίνει ότι αναμένεται υψηλή θερμική καταπόνηση.,"Il livello blu significa che ci si aspetta un elevato
stress termico da freddo.","Das blaue Niveau bedeutet, dass hohe Kältebelastung erwartet wird.",El nivel azul significa que se espera un alto estrés por frío.,Le niveau bleu signifie qu'un stress hypothermique élevé est prévu.,The blue level means that high cold stress is expected.,The blue level means that high cold stress is expected.
dash_tip_windchill_1,Due to the windchill ,På grund af windchill,Volgens de windchill,På grund av vindkyla,På grunn av windchill,Λόγω του κρύου αέρα,Dovuto al windchill,Wegen des Windchills,Debido al windchill,A cause de la température ressentie,Due to the windchill ,Due to the windchill 
dash_tip_windchill_2,there is a risk for exposed skin to freeze in,er der stor risiko for at udsat hud vil blive kritisk afkølet om,Er is een risico voor blote huid om te bevriezen in,finns det en risk att oskyddad hud fryser på,er det en stor risiko for at utsatt hud vil fryse om,υπάρχει κίνδυνος για το εκτεθιμένο δέρμα να παγώσει σε,"esiste il rischio di congelamento
 della pelle esposta","gibt es eine große Risiko dafür, dass exponierte Haut in",existe el riesgo de que la piel expuesta se congele en,il y a un risque pour la peau exposée de geler dans ,there is a risk for exposed skin to freeze in,there is a risk for exposed skin to freeze in
dash_tip_windchill_3,minutes,minutter,minuten,minuter,minutter,λεπτά,minuti,Minuten frieren wird,minutos,minutes,minutes,minutes
dash_tip_severe_cold,This level is associated with severe cold stress.,Dette niveau er forbundet med alvorlig kuldestress.,Dit level is geassocieerd met ernstige koude stress.,Denna nivån är associerad med allvarlig kylstress.,Dette nivået er assosiert med alvorlig kuldestress.,Αυτό το επίπεδο σχετίζεται με σφορδή ψυχρή καταπόνηση,"Questo livello è associato
ad un grave stress termico da freddo",Dieses Niveau wird mit ernsthafter Kältebelastung assoziiert.,Este nivel está asociado con el estrés por frío severo.,Ce niveau est associé à un stress hypothermique sévère.,This level is associated with severe cold stress.,This level is associated with severe cold stress.
dash_tip_general_1,The personalised cold stress indicator depends on the weather report as well as your personal input,Den personlige indikator for kuldestress er afhængig af vejrrapporten såvel som dit personlige input,De gepersonaliseerde koude stress indicator is afhankelijk van zowel het weer rapport as uw persoonlijke input,Den personaliserade kylstressmätaren beror på väderrapport samt dina personliga inmatning,Den personlige indikatoren for kuldestress er avhengig av værmeldingen så vel som dine personlige informasjoner,Ο προσωπικός σας δείκτης για την ψυχρή καταπόνηση εξαρτάται από το δελτίο καιρού και επίσης από τις προσωπικές πληροφορές που εισάγατε.,"L'indicatore personalizzato dello stress termico da freddo
dipende dai report meteorologici e dagli input da te inseriti",Der persönliche Indikator der Kältebelastung ist von den Wetterberichten sowohl als Ihren persönlichen Daten abhängig,El indicador personalizado de estrés por frío depende del informe meteorológico y de tu aporte personal.,L'indicateur de stress hypothermique personnalisé dépend des données météo et de vos paramètres personnels.,The personalised cold stress indicator depends on the weather report as well as your personal input,The personalised cold stress indicator depends on the weather report as well as your personal input
dash_tip_general_2,"The score will increase towards higher warning levels if the weather aggravates, your activity level decreases or your clothing level decreases","Scoren stiger mod højere advarselsniveauer, hvis vejret forværres, dit aktivitetsniveau falder eller du tager noget af dit tøj af","De score neemt toe naar hogere waarschuwingslevels als het weer verergerd, uw inspanningsniveau afneemt of de hoeveelheid kleding verminderd.","Summan kommer att öka mot högre varningsnivåer ifall vädret förvärras, din aktivitetsnivå sänks eller din klädesnivå minskar.","Poengsummen vil øke mot høyere advarselsnivå hvis været forverres, aktivitetsnivået ditt synker eller mengden av klær du har på blir mindre","Το σκορ θα αυξηθεί προς υψηλότερα επίπεδα προειδοποίησης αν ο καιρός επιδεινωθεί, το επίπεδο της δραστηριότητας ελλατωθεί ή ο ρουχισμός σας μειωθεί","Il punteggio aumenterà verso livelli
di avviso più elevati se il tempo peggiorerà, oppure se diminuirà la tua attività o il tuo vestiario","Wenn sich das Wetter verschlechtert, das Aktivitätsebene senkt oder Sie weniger Kleider tragen, wird die Punktzahl zu einem höheren Warnungsniveau steigen","La puntuación aumentará hacia niveles de advertencia más altos si el clima empeora, tu nivel de actividad disminuye o tu nivel de vestimenta disminuye","Le score augmentera vers des niveaux d'alerte plus élevés si la météo s'aggrave, si votre niveau d'activité diminue ou si votre niveau de protection vestimentaire diminue.","The score will increase towards higher warning levels if the weather aggravates, your activity level decreases or your clothing level decreases","The score will increase towards higher warning levels if the weather aggravates, your activity level decreases or your clothing level decreases"
dash_tip_general_3,No special precautions are required unless you work/excercise in special settings (indoor) or with restricted ability to maintain heat,"Ingen særlige forholdsregler, medmindre du arbejder / træner i specielle omgivelser (indendørs) eller med en begrænset evne til at opretholde varmen",Geen speciale voorzorgsmaatregelen zijn nodig tenzij u werkt/sport in een speciale omgeving (binnen) of met beperkte mogelijkheid om warmte vast te houden.,Inga speciella säkerhetsåtgärder behövs såvida du inte arbetar/tränar i en speciell miljö (inomhus) eller har begränsad möjlighet att bevara värme.,Ingen spesielle forholdsregler er nødvendig med mindre du jobber/trener i spesielle omgivelser (innendørs) eller med begrenset evne til å opprettholde varmen,Δεν απαιτούνται ειδικές προφυλάξεις εκτός αν εργάζεστε /ασκείστε σε ειδικές συνθήκες (εσωτερικές) ή με περιορισμένη δυνατότητα να διατηρείτε τη θερμότητα,"Non sono richieste precauzioni particolari a meno che non lavori o faccia movimento
in ambienti particolari (interni) o con ridotta capacità di mantenere il calore","Keine besonderen Maßnahmen werden benötigt, es sei denn Sie in besonderen Umgebungen (Innen) oder mit begrenztem fähigkeit die Temperatur aufrechtzuerhalten arbeiten/trainieren ",No se requieren precauciones especiales a menos que trabajes o hagas ejercicio en entornos especiales (interiores) o con capacidad restringida para mantener el calor,Aucune précaution particulière n'est requise sauf si vous travaillez/faites de l'exercice dans un environnement spécial (à l'intérieur) ou avec une capacité limitée de maintenir la chaleur,No special precautions are required unless you work/excercise in special settings (indoor) or with restricted ability to maintain heat,No special precautions are required unless you work/excercise in special settings (indoor) or with restricted ability to maintain heat
dash_tip_overdressed,"Based on the weather report it is not very warm. However, you may be overdressed for the activity level you have chosen and heat stress may occur.
","Based on the weather report it is not very warm. However, you may be overdressed for the activity level you have chosen and heat stress may occur.
","Gebaseerd op het weer rapport is het niet erg warm. Hoewel, u bent wellicht the warm aangekleed voor het inspanningsniveau dat u heeft gekozen en hitte stress kan optreden.",Baserat på väderrapporten så är det inte särskilt varmt. Du kan dock vara överklädd för din aktivitetsnivå vilket kan leda till värmestress.,Basert på værrapporten er det ikke særlig varmt. Allikevel kan du ha på for mye klær ifht. aktivitetsnivået ditt. Derfor kan du bli utsatt for varmestress.,"Based on the weather report it is not very warm. However, you may be overdressed for the activity level you have chosen and heat stress may occur.
","Secondo i report meteorologici non fa molto caldo. Comunque, il tuo livello di vestiario potrebbe essere troppo elevato per il livello di attività che hai scelto e potrebbe verificarsi stress termico da caldo.","Based on the weather report it is not very warm. However, you may be overdressed for the activity level you have chosen and heat stress may occur.
","Según el informe meteorológico, no hace mucho calor. Sin embargo, puedes estar usando mucha ropa para el nivel de actividad que has elegido y puede producirse estrés por calor.","Based on the weather report it is not very warm. However, you may be overdressed for the activity level you have chosen and heat stress may occur.
","Based on the weather report it is not very warm. However, you may be overdressed for the activity level you have chosen and heat stress may occur.
","Based on the weather report it is not very warm. However, you may be overdressed for the activity level you have chosen and heat stress may occur.
"
dash_tip_normal,You should be able to maintain normal activities - but appropriate/adjusted behavior is required.,"Du burde være i stand til at opretholde normale aktiviteter, men justeret adfærd (påklædning/væskeindtagelse) kan være nødvendig",U zou normale activiteiten moeten kunnen voortzetten - maar passend/aangepast gedrag is noodzakelijk.,Du bör kunna upprätthålla normala aktiviteter men var uppmärksam och justera aktivitet och kläder vid behov.,Du burde kunne opprettholde normale aktiviteter - men det krever justert oppførsel,"Θα πρέπει να είστε ικανός να διατηρήσετε τις κανονικές δραστηριότητες, αλλά η σωστή/προσαρμόσμένη συμπεριφορά είναι απαραίτητη.","Dovresti essere in grado di continuare le tue 
normali attività - però sono necessari comportamenti appropriati/adattati.","Sie sollten normale Aktivitäten aufrechterhalten können, aber es fordert ein justiertes Benehmen. ","Deberías poder mantener tus actividades normales, pero se requiere un comportamiento apropiado/ajustado.",Vous devriez être capable de maintenir des activités normales - mais un comportement approprié est requis.,You should be able to maintain normal activities - but appropriate/adjusted behavior is required.,You should be able to maintain normal activities - but appropriate/adjusted behavior is required.
dash_tip_windchill_significant_1,There is significant windchill,Der er betydelig windchill (vindkølingsfaktor),Er is significante windchill,Det är betydlig vindkyla.,Det er betydelig windchill,Υπάρχει σημαντικός κρύος αέρας,E' presente un significativo windchill,Es gibt ein signifikanter Windchill,Hay un windchill significativo,Il y a un refroidissement éolien significatif,There is significant windchill,There is significant windchill
dash_tip_windchill_significant_2,you should consider clothing with high wind stopping properties.,Overvej at vælge tøj der har høj evne til at bremse vind (tøj med wind-breaker egenskaber).,u zou moeten overwegen kleding te dragen met lage winddoorlaatbaarheid.,Du bör överväga vindtäta kläder.,bør du vurdere klær med høye vindstoppende egenskaper.,Πρέπει να σκεφτείτε ένδυση με σημαντικές αντιανεμικές ιδιότητες,"dovresti considerare l'uso di indumenti
in grado di bloccare efficacemente il vento.",Sie sollten Kleider mit windstoppenden Eigenschaften überlegen. ,Debes considerar el uso de una chaqueta cortavientos u otra ropa similar.,vous devriez envisager des vêtements avec des propriétés coupe-vent élevées.,you should consider clothing with high wind stopping properties.,you should consider clothing with high wind stopping properties.
dash_tip_increase_insulation,You should consider to increase insulation from clothing by adding layers or choosing warmer/thicker clothing.,"Du kan med fordel øge isolering fra dit tøj ved at tage flere lag på, eller vælge varmere/tykkere tøj.",U zou moeten overwegen de kledingisolatie te verhogen door meer lagen aan te doen of the kiezen voor warmere/dikkere kleding.,Du bör överväga att öka din isolering från kläder genom att klä dig i fler lager eller varmare/tjockare kläder.,Du bør vurdere å øke isolasjonen fra klær ved å legge til lag eller velge varmere/tykkere klær.,Πρέπει να σκεφτείς να αυξήσεις την επένδυση των ρούχων με την προσθήκη στρώσεων ή επιλέγοντας πιο ζεστή/βαριά ένδυση,"Dovresti aumentare il livello di isolamento
fornito dai tuoi vestiti, aggiungendo strati o scegliendo vestiti più caldi o più spessi.",Sie sollten es überlegen die Wärmedämmung der Kleider durch mehere Schichten oder dickere Kleider zu erhöhen. ,Debe considerar aumentar el aislamiento de la ropa agregando capas o eligiendo ropa más cálida / gruesa.,Vous devriez envisager d'augmenter votre isolation vestimentaire en ajoutant des couches ou en choisissant des vêtements plus chauds/épais.,You should consider to increase insulation from clothing by adding layers or choosing warmer/thicker clothing.,You should consider to increase insulation from clothing by adding layers or choosing warmer/thicker clothing.
dash_tip_extra_attention,"At this level you are recommended to pay extra attention to appropriate behavior and match clothing to the cold level and protect exposed skin. Be aware not to overdress, because sweating will cool you down.","Ved dette kulde-niveau anbefales det at være ekstra opmærksom på passende adfærd - match dit tøj til kuldestresset og beskyt udsat hud. Vær opmærksom på ikke at tage for meget tøj på, da sved køler dig ned.",Op dit level wordt u geadviseerd extra aandacht te besteden aan passend gedrag en kleding te matchen aan het koude level en blote huid te beschermen. ,Vid denna nivån rekommenderas att du är extra uppmärksam och klär dig för att klara kylan samt skyddar naken hud. Klä dig inte för varmt då svettning kommer att kyla ner dig.,"På dette nivået anbefales du å være ekstra oppmerksom på passende oppførsel og tilpasse klær til kulden samt beskytte utsatt hud. Vær oppmerksom på å ta på for mye klær, fordi svette vil kjøle deg ned.","Σε αυτό το επίπεδο συνιστάται να δώσετε ιδιαίτερη προσοχή και να ταιριάξετε τα ρούχα με το κρύο και να προστατεύσετε το εκτεθειμένο δέρμα. Να θυμάστε να μη φορέστε πολλά ρούχα, επειδή ο ιδρώτας θα σας ρίξει τη θερμοκρασία.","A questo livello ti raccomandiamo di 
prestare particolare attenzione ad assumere i comportamenti corretti, ad adattare gli indumenti al freddo ed a proteggere la pelle esposta. Fai attenzione a non vestirti troppo, altrimenti la sudorazione abbasserà la tua temperatura.","Auf dieser Ebene wird es Ihnen empfohlen darauf außerordentich aufmerksam zu sein, dass Sie sich der Kälte entsprechend benehmen und kleiden ","En este nivel, se recomienda prestar especial atención al comportamiento apropiado, hacer coincidir la ropa con el nivel de frío y proteger la piel expuesta. Ten cuidado de no usar demasiada ropa, porque la sudoración te enfriará.","A ce niveau, il est recommandé de porter une attention particulière à un comportement approprié et d'adapter les vêtements au froid et de protéger la peau exposée. Veillez à ne pas mettre trop de vêtements, car la transpiration vous refroidira.","At this level you are recommended to pay extra attention to appropriate behavior and match clothing to the cold level and protect exposed skin. Be aware not to overdress, because sweating will cool you down.","At this level you are recommended to pay extra attention to appropriate behavior and match clothing to the cold level and protect exposed skin. Be aware not to overdress, because sweating will cool you down."
dash_utci_english_only,UTCI available in English only.,UTCI kun tilgængelig på engelsk,UTCI is alleen in het Engels beschikbaar,UTCI available in English only.,UTCI bare tilgjengelig på Engelsk.,UTCI available in English only.,UTCI disponibile solo in inglese,UTCI available in English only.,UTCI available in English only.,UTCI available in English only.,UTCI available in English only.,UTCI available in English only.
feedback_diff_sys_pred,Difference from system prediction,Afvigelse fra systemets gnst-værdi,Verschil van voorspelling systeem,Avvikelse från systemets värde,Forskjell fra systemets verdi,Διαφορά από την πρόβλεψη του συστήματος,Differenza dalla previsione del sistema,Unterschied von Systemwert,Diferencia respecto a la predicción del sistema,Différence avec le système de prédiction,Difference from system prediction,Difference from system prediction
